,0,1,2,3,4,5
5417,Raza Iqbal,17/06/1986,Norway,,,31
5418,Raza-ur-Rehman,05/11/1985,Canada,,6,5
5419,V Razdan,25/08/1969,India,2,3,
5420,Razmal Shigiwal,15/10/1998,Austria,,,38
5421,C M W Read,10/08/1978,England,15,36,1
5422,H D Read,28/01/1910,England,1,,
5423,J M Read,09/02/1859,England,17,,
5424,W W Read,23/11/1855,England,18,,
5425,N J Reardon,08/11/1984,Australia,,,2
5426,J Reb,01/10/2001,Serbia,,,8
5427,B Reddy,12/11/1954,India,4,3,
5428,N K Reddy,26/05/2003,India,5,,3
5429,A J Redmond,23/09/1979,New Zealand,8,6,7
5430,R E Redmond,29/12/1944,New Zealand,1,2,
5431,I R Redpath,11/05/1941,Australia,66,5,
5432,J C Reedman,09/10/1865,Australia,1,,
5433,D J Reekers,26/05/1973,Netherlands,,19,6
5434,E V Reenen,23/01/1981,Serbia,,,3
5435,D A Reeve,02/04/1963,England,3,29,
5436,M R Rege,18/03/1924,India,1,,
5437,B Regmi,06/04/1986,Nepal,,4,18
5438,Rehan Ahmed,13/08/2004,England,5,6,10
5439,S F Rehman,11/06/1935,Pakistan,1,,
5440,Rehman Abdul,09/11/1996,Italy,,,7
5441,B A Reid,14/03/1963,Australia,27,61,
5442,C A Reid,09/04/1962,United States,,2,
5443,J F Reid,03/03/1956,New Zealand,19,25,
5444,J R Reid,03/06/1928,New Zealand,58,,
5445,N Reid,26/12/1890,South Africa,1,,
5446,R B Reid,03/12/1958,New Zealand,,9,
5447,F L Reifer,23/07/1972,West Indies,6,8,1
5448,R A Reifer,11/05/1991,West Indies,8,6,3
5449,P R Reiffel,19/04/1966,Australia,35,92,
5450,A E Relf,26/06/1874,England,13,,
5451,S Rengarajan,03/09/1993,Czech Republic,,,3
5452,D A Renneberg,23/09/1942,Australia,8,,
5453,G J Rennie,12/01/1976,Zimbabwe,23,42,
5454,J A Rennie,20/07/1970,Zimbabwe,4,42,
5455,M T Renshaw,28/03/1996,Australia,14,,
5456,J B Reva,23/09/1990,Papua New Guinea,,9,9
5457,A Reyes,07/03/1984,Gibraltar,,,24
5458,G A Reynold,15/02/1995,Belize,,,3
5459,K A Reynolds,04/04/1995,Belize,,,3
5460,H J Rhodes,22/07/1936,England,2,,
5461,J N Rhodes,26/07/1969,South Africa,52,245,
5462,S J Rhodes,17/06/1964,England,11,9,
5463,W Rhodes,29/10/1877,England,58,,
5464,Riaz Afridi,04/07/1992,Czech Republic,,,4
5465,Riaz Afridi,21/01/1985,Pakistan,1,,
5466,Riaz Hassan,07/11/2002,Afghanistan,1,7,
5467,Riazat Ali Shah,20/02/1998,Uganda,,,72
5468,C Rice,22/05/1995,Malawi,,,1
5469,C E B Rice,23/07/1949,South Africa,,3,
5470,A C L Richards,14/11/1983,West Indies,,1,1
5471,A R Richards,14/12/1867,South Africa,1,,
5472,B A Richards,21/07/1945,South Africa,4,,
5473,C G Richards,02/04/1991,St Helena,,,12
5474,C J Richards,10/08/1958,England,8,22,
5475,D L Richards,21/01/1981,St Helena,,,5
5476,D M Richards,16/07/1976,West Indies,3,8,1
5477,I V A Richards,07/03/1952,West Indies,121,187,
5478,W H M Richards,26/03/1862,South Africa,1,,
5479,A J Richardson,24/07/1888,Australia,9,,
5480,D J Richardson,16/09/1959,South Africa,42,122,
5481,D W Richardson,03/11/1934,England,1,,
5482,E J Richardson,22/07/1990,Ireland,,2,
5483,G Richardson,12/11/2004,Jersey,,,1
5484,J A Richardson,20/09/1996,Australia,3,15,18
5485,J D A Richardson,07/05/2003,Bermuda,,,5
5486,K W Richardson,12/02/1991,Australia,,25,36
5487,M H Richardson,11/06/1971,New Zealand,38,4,
5488,M J Richardson,04/10/1986,Germany,,,25
5489,P E Richardson,04/07/1931,England,34,,
5490,R B Richardson,12/01/1962,West Indies,86,224,
5491,T Richardson,11/08/1870,England,14,,
5492,V Y Richardson,07/09/1894,Australia,19,,
5493,T L Richmond,23/06/1890,England,1,,
5494,K R Rickards,23/08/1923,West Indies,2,,
5495,R D Rickelton,11/07/1996,South Africa,10,6,13
5496,F Ridgway,10/08/1923,England,5,,
5497,Rifayi Theruvath,03/11/1994,Qatar,,,2
5498,K E Rigg,21/05/1906,Australia,8,,
5499,Rijan Dhakal,,Nepal,,3,6
5500,D O D Rikhi,20/03/1993,United States,,2,
5501,G Riley,08/10/2003,Gambia,,,3
5502,M J R Rindel,09/02/1963,South Africa,,22,
5503,D T Ring,14/10/1918,Australia,13,,
5504,E B Ringera,08/09/1993,Kenya,,1,35
5505,H P Rinke,05/11/1981,Zimbabwe,,18,
5506,Ripon Mondol,21/03/2003,Bangladesh,,,3
5507,M J Rippon,14/09/1991,Netherlands,,9,19
5508,Rishad Hossain,15/07/2002,Bangladesh,,7,30
5509,T Ritawa,19/11/1975,Cook Islands,,,11
5510,G M Ritchie,23/01/1960,Australia,30,44,
5511,R Rivas,08/03/1999,Chile,,,3
5512,A A P Rivero,23/05/2004,Argentina,,,16
5513,A R P Rivero,15/04/1975,Argentina,,,1
5514,S J Rixon,25/02/1954,Australia,13,6,
5515,Riyaz Kajalwala,24/02/1982,Cyprus,,,2
5516,Rizwan Ahmed,01/10/1978,Pakistan,,1,
5517,Rizwan Butt,02/01/1991,Bahrain,,,47
5518,Rizwan Cheema,15/08/1978,Canada,,33,24
5519,Rizwan Haider,12/03/1987,Malaysia,,,31
5520,Rizwan Latif,05/11/1973,United Arab Emirates,,1,
5521,Rizwan Tariq Mahmood,16/06/1989,Denmark,,,13
5522,Rizwan-Uz-Zaman,04/09/1962,Pakistan,11,3,
5523,C A Roach,13/03/1904,West Indies,16,,
5524,K A J Roach,30/06/1988,West Indies,84,95,11
5525,D E Roache,25/07/2006,Samoa,,,9
5526,Robert Raina,02/02/1985,Thailand,,,15
5527,A D G Roberts,06/05/1947,New Zealand,7,1,
5528,A M E Roberts,29/01/1951,West Indies,47,56,
5529,A T Roberts,18/09/1937,West Indies,1,,
5530,A W Roberts,20/08/1909,New Zealand,5,,
5531,C Roberts,22/10/2003,France,,,10
5532,I Roberts,21/05/2004,Argentina,,,1
5533,L A Roberts,04/09/1974,West Indies,1,,
5534,P S Roberts,23/03/1992,Croatia,,,4
5535,S J Roberts,22/03/1965,New Zealand,,2,
5536,G K Robertson,15/07/1960,New Zealand,1,10,
5537,G R Robertson,28/05/1966,Australia,4,13,
5538,J B Robertson,05/06/1906,South Africa,3,,
5539,J D B Robertson,22/02/1917,England,11,,
5540,W J R Robertson,16/07/1998,Jersey,,,6
5541,W R Robertson,06/10/1861,Australia,1,,
5542,D Robeson,17/06/1976,Gibraltar,,,1
5543,R W V Robins,03/06/1906,England,19,,
5544,J Robinson,31/12/1984,Bermuda,,3,
5545,O E Robinson,01/12/1993,England,20,,
5546,R D Robinson,08/06/1946,Australia,3,2,
5547,R H Robinson,26/03/1914,Australia,1,,
5548,R T Robinson,21/11/1958,England,29,26,
5549,T B Robinson,28/04/2002,New Zealand,,3,9
5550,Robiul Islam,20/10/1986,Bangladesh,9,3,1
5551,D Robson,10/10/1979,Estonia,,,13
5552,S D Robson,01/07/1989,England,7,,
5553,C M Rocca,08/03/1965,Gibraltar,,,2
5554,L N Roche,14/09/1999,Zimbabwe,,3,
5555,N A Rock,24/09/2000,Ireland,,3,23
5556,S R Rocket,02/04/1992,Seychelles,,,15
5557,W V Rodriguez,25/06/1934,West Indies,5,,
5558,L H Rodriques,18/03/2002,Brazil,,,13
5559,A G Roe,23/11/1968,Chile,,,2
5560,A K Roger,20/10/2004,Ivory Coast,,,3
5561,B G Rogers,20/08/1982,Zimbabwe,4,15,
5562,C J L Rogers,31/08/1977,Australia,25,,
5563,G A Rogers,12/04/1977,Scotland,,13,2
5564,Rohail Nazir,10/10/2001,Pakistan,,,3
5565,R Rohan,28/06/1999,Singapore,,,29
5566,Rohan Mustafa,07/10/1988,United Arab Emirates,,81,58
5567,Rohit Kumar,21/01/1990,Romania,,,5
5568,B J Rohrer,26/03/1981,Australia,,,1
5569,Rohullah Mangal,30/04/2004,France,,,13
5570,Rokhan Barakzai,01/01/1989,Afghanistan,,1,3
5571,T S Roland-Jones,29/01/1988,England,4,1,
5572,I H Romaine,08/08/1972,Bermuda,,35,2
5573,L C Romero,29/12/1974,United States,,2,
5574,L Ronchi,23/04/1981,New Zealand,4,85,33
5575,Rony Talukdar,10/10/1990,Bangladesh,,1,11
5576,G R J Roope,12/07/1946,England,21,8,
5577,C F Root,16/04/1890,England,3,,
5578,J E Root,30/12/1990,England,152,171,32
5579,C B Roposo,28/09/2005,Mozambique,,,17
5580,G F Rorke,27/06/1938,Australia,4,,
5581,B C Rose,04/06/1950,England,9,2,
5582,F A Rose,02/02/1972,West Indies,19,27,
5583,M J Ross,24/04/1998,Italy,,,8
5584,L Rossi,26/05/2005,Argentina,,,10
5585,S Rossi,22/01/2000,Argentina,,,10
5586,T Rossi,28/03/2001,Argentina,,,19
5587,R R Rossouw,09/10/1989,South Africa,,36,29
5588,T W Routledge,18/04/1867,South Africa,4,,
5589,A M B Rowan,07/02/1921,South Africa,15,,
5590,E A B Rowan,20/07/1909,South Africa,26,,
5591,C G Rowe,30/06/1915,New Zealand,1,,
5592,G A Rowe,15/06/1874,South Africa,5,,
5593,L G Rowe,08/01/1949,West Indies,30,11,
5594,O Rowe,16/12/2003,Argentina,,,1
5595,A Roy,05/06/1945,India,4,,
5596,J J Roy,21/07/1990,England,5,116,64
5597,P Roy,31/05/1928,India,43,,
5598,P Roy,10/02/1957,India,2,,
5599,V P F Royle,29/01/1854,England,1,,
5600,R T Rubbi,14/09/1992,Indonesia,,,2
5601,Rubel Hossain,01/01/1990,Bangladesh,27,104,28
5602,J A Rudolph,04/05/1981,South Africa,48,45,1
5603,E C Rugama,30/05/2006,Costa Rica,,,1
5604,E Rukiriza,27/07/2003,Rwanda,,,53
5605,S Rukmal,22/02/1994,Seychelles,,,12
5606,C Rumistrzewicz,03/05/2005,Spain,,,26
5607,Rumman Raees,18/10/1991,Pakistan,,9,8
5608,F E Rumsey,04/12/1935,England,5,,
5609,D B Rundle,25/09/1965,South Africa,,2,
5610,S Rungrueang,,Thailand,,,21
5611,S Runsewe,07/08/2001,Nigeria,,,55
5612,R J M Rupasinghe,05/03/1986,Sri Lanka,,,2
5613,Rupesh Singh,05/05/1988,Mexico,,,4
5614,M W Rushmere,07/01/1965,South Africa,1,4,
5615,G R Russ,12/01/1991,Philippines,,,21
5616,A D Russell,29/04/1988,West Indies,1,56,83
5617,C A G Russell,07/10/1887,England,10,,
5618,R C Russell,15/08/1963,England,54,40,
5619,W E Russell,03/07/1936,England,10,,
5620,H D Rutherford,27/04/1989,New Zealand,16,4,8
5621,J W Rutherford,25/09/1929,Australia,1,,
5622,K R Rutherford,26/10/1965,New Zealand,56,121,
5623,S E Rutherford,15/08/1998,West Indies,,12,28
5624,J Ryder,08/08/1889,Australia,20,,
5625,J D Ryder,06/08/1984,New Zealand,18,48,22
5626,No. of Records = 358,,,,,
5627,,,,Detailed Profiles & Statistics,,
5628,Name,Born,Country (Current),Tests,ODIs,T20s
5629,Saad Ali,05/10/1993,Pakistan,,2,
5630,Saad Bin Zafar,10/11/1986,Canada,,20,49
5631,Saad Khan,23/08/1987,Saudi Arabia,,,16
5632,Saad Nasim,29/04/1990,Pakistan,,3,3
5633,Saadat Ali,06/02/1955,Pakistan,,8,
5634,Sabbir Rahman,22/11/1991,Bangladesh,11,66,48
5635,Saber Zakhil,15/03/1997,Belgium,,,43
5636,D Sabir,05/06/2003,Bermuda,,,22
5637,Sabir Ali,,United Arab Emirates,,4,3
5638,Sacha De Alwis,30/01/1992,Cayman Islands,,,18
5639,V M Sachdev,12/01/1987,Panama,,,2
5640,Sachin Banamali,17/08/1989,Singapore,,,5
5641,Sachin Mandy,07/06/1991,Germany,,,23
5642,Sadeeq Khan,03/01/1993,Romania,,,3
5643,P Sadev,05/01/2006,Italy,,,4
5644,Sadiq Mohammad,03/05/1945,Pakistan,41,19,
5645,C Sadun,31/07/1990,Cyprus,,,17
5646,S Saeed,14/03/1996,Maldives,,,5
5647,Saeed Ahmed,01/10/1937,Pakistan,41,,
5648,Saeed Ahmed,,Sweden,,,9
5649,Saeed Ajmal,14/10/1977,Pakistan,35,113,64
5650,Saeed Anwar,06/09/1968,Pakistan,55,247,
5651,Saeed Azad,14/08/1966,Pakistan,,4,
5652,Saeed Waqar Ali,19/07/1992,Slovenia,,,5
5653,Saeed-Al-Saffar,31/07/1968,United Arab Emirates,,1,
5654,Sagar Pun,01/03/1993,Nepal,,1,9
5655,M J Saggers,23/05/1972,England,3,,
5656,R A Saggers,15/05/1917,Australia,6,,
5657,Saghar Manzoor,29/04/1990,Croatia,,,5
5658,A K Sah,17/11/1998,Nepal,,16,12
5659,T K Saha,25/08/1985,Finland,,,4
5660,W P Saha,24/10/1984,India,40,9,
5661,Sahan Arachchige,13/05/1996,Sri Lanka,,5,1
5662,Sahel Zadran,01/01/1990,Austria,,,28
5663,S Sahi,15/08/1990,Romania,,,5
5664,Sahibzada Farhan,06/03/1996,Pakistan,,,9
5665,Sahil Chauhan,19/02/1992,Estonia,,,13
5666,Sahil Grover,22/11/1988,Czech Republic,,,9
5667,Sahir Naqash,12/07/1990,Germany,,,38
5668,Sai Sarthak,07/03/2008,Bahrain,,,4
5669,B S Sai Sudharsan,15/10/2001,India,,3,1
5670,Said Hakim,31/12/1984,Belgium,,,3
5671,Saif Hassan,30/10/1998,Bangladesh,6,,5
5672,Saif Ullah Malik,13/10/1999,Malaysia,,,1
5673,Saiful Islam,14/04/1969,Bangladesh,,7,
5674,Saif-Ul-Islam,02/10/2001,Norway,,,2
5675,Saim Ayub,24/05/2002,Pakistan,8,9,27
5676,N A Saini,23/11/1992,India,2,8,11
5677,V Saini,05/09/1989,Romania,,,40
5678,Sajad Ahmadzai,31/08/2002,Belgium,,,17
5679,Sajad Stanikzay,25/05/2007,France,,,9
5680,Sajid Ali,01/07/1963,Pakistan,,13,
5681,Sajid Cheema,20/02/1980,Saudi Arabia,,,12
5682,Sajid Khan,03/09/1993,Pakistan,11,,
5683,Sajid Khan Afridi,16/02/1997,Greece,,,4
5684,Sajid Liaqat,24/08/1985,Germany,,,9
5685,Sajidul Islam,18/01/1988,Bangladesh,3,,1
5686,Sajjad Ahmed,20/05/1974,Bangladesh,,2,
5687,Sajjad Akbar,01/03/1961,Pakistan,,2,
5688,C Sakariya,28/02/1998,India,,1,2
5689,Sakhti Sheelan,27/05/1992,Indonesia,,,1
5690,Sakib Hasan,01/03/1991,Serbia,,,2
5691,R Sakurano-Thomas,,Japan,,,35
5692,Salahuddin,14/02/1947,Pakistan,5,,
5693,Salahuddin Ahmed,10/02/1969,Bangladesh,,6,
5694,J Salazar,29/09/1998,Peru,,,2
5695,Saleem Altaf,19/04/1944,Pakistan,21,6,
5696,Saleem Elahi,21/11/1976,Pakistan,13,48,
5697,Saleem Malik,16/04/1963,Pakistan,103,283,
5698,Saleem Pervez,09/09/1947,Pakistan,,1,
5699,Saleem Raza,05/07/1964,United Arab Emirates,,6,
5700,Saleem Yousuf,07/12/1959,Pakistan,32,86,
5701,N Salekar,27/12/1989,Thailand,,,6
5702,Salim Jaffer,19/11/1962,Pakistan,14,39,
5703,I D K Salisbury,21/01/1970,England,15,4,
5704,Salman Agha,23/11/1993,Pakistan,20,30,6
5705,Salman Butt,07/10/1984,Pakistan,33,78,24
5706,Salman Faris,18/11/1985,United Arab Emirates,,3,
5707,Salman Farooq,26/11/1981,United Arab Emirates,,1,
5708,Salman Nazar,29/03/1991,Canada,,,8
5709,G Salmond,01/12/1969,Scotland,,5,
5710,L I Salomone,,Mozambique,,,14
5711,N M Salonen,29/05/1994,Finland,,,8
5712,P D Salt,28/08/1996,England,,27,38
5713,A M Salvi,20/10/1981,India,,4,
5714,A M Samad,03/05/1979,Canada,,27,7
5715,Samader Shadab,01/02/2002,Greece,,,4
5716,Samal Udawaththa,,United Arab Emirates,,,1
5717,J A Samarasekera,22/02/1968,United Arab Emirates,,7,
5718,M A R Samarasekera,04/08/1961,Sri Lanka,4,39,
5719,D P Samaraweera,12/02/1972,Sri Lanka,7,5,
5720,T T Samaraweera,22/09/1976,Sri Lanka,81,53,
5721,D Samarawickrama,12/07/1990,Italy,,,3
5722,S Samarawickrama,30/08/1995,Sri Lanka,9,50,19
5723,B A Sambo,25/09/2000,Mozambique,,,5
5724,Sameer Zia,08/09/1981,United Arab Emirates,,1,
5725,Sami Aslam,12/12/1995,Pakistan,13,4,
5726,Sami Rahmani,13/08/1988,Sweden,,,9
5727,Sami Sohail,29/01/2002,Malawi,,,46
5728,Sami Ullah,25/03/1990,Romania,,,9
5729,Samiallah Khalil,10/11/2003,Sweden,,,2
5730,S A S Samir Patel,02/03/1988,Lesotho,,,13
5731,Samiullah Khan,04/08/1982,Pakistan,,2,
5732,Samiullah Shinwari,31/12/1987,Afghanistan,,84,65
5733,Samiur Rahman,03/12/1953,Bangladesh,,2,
5734,D J G Sammy,20/12/1983,West Indies,38,126,68
5735,D R Sams,27/10/1992,Australia,,,10
5736,E Samson,15/05/1985,Israel,,,3
5737,R S K Samson,29/04/2000,Vanuatu,,,2
5738,S V Samson,11/11/1994,India,,16,37
5739,Samson Awiah,31/12/1989,Ghana,,,40
5740,Samuel Mba,20/11/2002,Nigeria,,,8
5741,A J A Samuels,15/09/2005,Cook Islands,,,6
5742,M N Samuels,05/02/1981,West Indies,71,207,67
5743,R G Samuels,13/03/1971,West Indies,6,8,
5744,T Samuels,08/10/1997,Belize,,,5
5745,S V Samuelson,21/11/1883,South Africa,1,,
5746,Sana Ullah,18/04/1991,South Korea,,,4
5747,Sanchit Sharma,22/07/2001,United Arab Emirates,,10,4
5748,P A D L R Sandakan,10/06/1991,Sri Lanka,11,31,20
5749,R Sandaruwan,22/06/1992,Kuwait,,,71
5750,R Sandeep,02/03/2003,Eswatini,,,10
5751,T Sandeep,,Eswatini,,,20
5752,Sandeep Goud,08/11/1991,Oman,,39,30
5753,Sandeep Sharma,18/05/1993,India,,,2
5754,S Sandeep Warrier,04/04/1991,India,,,1
5755,A Sandham,06/07/1890,England,14,,
5756,K T Sandher,16/07/1980,Canada,,15,
5757,B S Sandhu,03/08/1956,India,8,22,
5758,B S Sandhu,01/01/1998,Slovenia,,,1
5759,G S Sandhu,14/06/1993,Australia,,2,
5760,A Sanford,12/07/1976,West Indies,11,,
5761,K C Sangakkara,27/10/1977,Sri Lanka,134,404,56
5762,T Sangha,26/11/2001,Australia,,2,7
5763,R L Sanghvi,03/09/1974,India,1,10,
5764,J R M V B Sanjaya,10/02/1992,Sri Lanka,,,8
5765,S Sankar,14/07/1994,Saudi Arabia,,,9
5766,L Sanogo,21/12/1994,Mali,,,14
5767,P R Santhanakrishnan,20/11/1986,Mexico,,,17
5768,M J Santner,05/02/1992,New Zealand,30,110,109
5769,K Santokie,20/12/1984,West Indies,,,12
5770,M E Sanuth,25/07/1989,Oman,,3,1
5771,Sanwar Hossain,05/08/1973,Bangladesh,9,27,
5772,Saqib Ali,14/04/1978,United Arab Emirates,,5,
5773,Saqib Naveed,,Estonia,,,4
5774,Saqib Zulfiqar,28/03/1997,Netherlands,,15,7
5775,Saqlain Ali,02/11/1997,Belgium,,,6
5776,Saqlain Arshad,10/10/1992,Qatar,,,31
5777,Saqlain Haider,10/08/1987,United Arab Emirates,,5,6
5778,Saqlain Mushtaq,27/11/1976,Pakistan,49,169,
5779,Saqlain Sajib,01/12/1988,Bangladesh,,,1
5780,Saran Aslam,11/05/1991,Denmark,,,12
5781,Sarandeep Singh,21/10/1979,India,3,5,
5782,Y Saranonnakkun,,Thailand,,,31
5783,Sarawut Maliwan,03/01/2002,Thailand,,,26
5784,D N Sardesai,08/08/1940,India,30,,
5785,M Sarenac,10/01/2004,Serbia,,,27
5786,S A Sarfaraj Patel,23/04/1983,Lesotho,,,6
5787,Sarfaraz Ahmed,22/05/1987,Pakistan,54,117,61
5788,Sarfaraz Ali,20/10/1981,Bahrain,,,52
5789,Sarfraz Butt,20/06/1996,Saudi Arabia,,,9
5790,Sarfraz Nawaz,01/12/1948,Pakistan,55,45,
5791,A Sarma,23/10/1982,Germany,,,4
5792,P Sarraf,17/12/2000,Nepal,,12,17
5793,R R Sarwan,23/06/1980,West Indies,87,181,18
5794,M M Sarwar,29/10/1997,Kuwait,,,7
5795,Z Sarwar,02/01/1997,Cyprus,,,4
5796,C T Sarwate,22/06/1920,India,9,,
5797,H Satheedevi,03/10/1993,Croatia,,,4
5798,R Satheesan,11/03/1982,Romania,,,38
5799,A Sathya,25/10/1988,Mexico,,,3
5800,A Sathyan,25/03/1993,Croatia,,,2
5801,A F Sattaur,06/04/1965,Canada,,3,
5802,Satyajit Sengupta,01/04/1989,Czech Republic,,,9
5803,Saud,14/09/2000,Saudi Arabia,,,1
5804,A Saud,29/06/2003,Nepal,,11,3
5805,Saud Islam,16/09/1993,Uganda,,,20
5806,Saud Shakeel,05/09/1995,Pakistan,18,15,
5807,J V Saunders,21/03/1876,Australia,14,,
5808,R H O Saunders,16/01/2004,Norway,,,2
5809,B V Save,29/10/1984,Malaysia,,,2
5810,Savindra Amaradasa,26/08/1987,Maldives,,,1
5811,S M H H Saw Aung,24/05/2007,Myanmar,,,1
5812,A Sawyer,23/12/2007,Gibraltar,,,3
5813,R C Saxena,20/09/1944,India,1,,
5814,Sayed Monib,08/06/1992,Kuwait,,,44
5815,Sayed Shirzad,01/10/1994,Afghanistan,1,2,4
5816,C J Sayers,31/08/1987,Australia,1,,
5817,Sazzad Hosen,20/06/1990,Belgium,,,8
5818,J O P Scamans,07/09/1989,Finland,,,18
5819,R O Scarlett,15/08/1934,West Indies,3,,
5820,G Schachat,18/02/1991,Israel,,,3
5821,M M C Schewe,10/05/1969,Netherlands,,5,
5822,E Schiferli,17/05/1976,Netherlands,,30,7
5823,C P Schofield,06/10/1978,England,2,,4
5824,R H Scholte,10/08/1967,Netherlands,,5,
5825,B M Scholtz,03/10/1990,Namibia,,53,66
5826,J D Schoonheim,16/11/1981,Netherlands,,,1
5827,B N Schultz,26/08/1970,South Africa,9,1,
5828,S S Schultz,29/08/1857,England,1,,
5829,B Schuster,23/01/2003,Samoa,,,2
5830,R O Schwarz,04/05/1875,South Africa,20,,
5831,A H P Scott,29/07/1934,West Indies,1,,
5832,H J H Scott,26/12/1858,Australia,8,,
5833,J E Scott,24/12/1987,Bahamas,,,4
5834,O C Scott,14/08/1892,West Indies,8,,
5835,R H Scott,06/03/1917,New Zealand,1,,
5836,R M Scott,25/09/1995,United States,,,2
5837,V J Scott,31/07/1916,New Zealand,10,,
5838,W H Scotton,15/01/1856,England,15,,
5839,G L S Scrimshaw,10/02/1998,England,,2,
5840,J N T Seales,10/09/2001,West Indies,18,17,1
5841,B J Sealey,12/08/1899,West Indies,1,,
5842,G R Sealy,11/06/1940,Canada,,3,
5843,J E D Sealy,11/09/1912,West Indies,11,,
5844,R A Sealy,22/04/1991,Cayman Islands,,,21
5845,B V Sears,11/02/1998,New Zealand,1,,17
5846,J Sebanja,10/09/1988,Uganda,,,9
5847,E Sebareme,19/12/1995,Rwanda,,,65
5848,A W Seccull,14/09/1868,South Africa,1,,
5849,M Sedgwick,03/10/1972,Estonia,,,3
5850,Sediqullah Atal,12/08/2001,Afghanistan,1,6,9
5851,B B Seebaran,12/09/1972,Canada,,4,
5852,P M Seelaar,02/07/1987,Netherlands,,57,77
5853,S Seeraj,07/09/1973,Canada,,1,
5854,Seetharam Guruvayoorappan,20/07/1982,Mexico,,,7
5855,Sefu Mokiwa,14/04/2001,Tanzania,,,1
5856,V Sehwag,20/10/1978,India,104,251,19
5857,Seif Athumani,04/04/2001,Tanzania,,,1
5858,T L Seifert,14/12/1994,New Zealand,,3,61
5859,T A P Sekar,28/03/1956,India,2,4,
5860,R Sekaran,04/04/1988,Estonia,,,4
5861,J Selby,01/07/1849,England,6,,
5862,I I Selemani,20/06/2000,Tanzania,,,63
5863,Selim Salau,25/10/2005,Nigeria,,,20
5864,R H D Sellers,20/08/1940,Australia,1,,
5865,M W W Selvey,25/04/1948,England,3,,
5866,K F Semple,21/08/1970,West Indies,,7,
5867,K R Sen,22/10/1996,India,,1,
5868,P Sen,31/05/1926,India,14,,
5869,K Senamontree,19/07/1999,Thailand,,,17
5870,N Senamontree,28/04/1991,Thailand,,,35
5871,C P Senanayake,15/12/1962,Sri Lanka,3,7,
5872,S M S M Senanayake,09/02/1985,Sri Lanka,1,49,24
5873,A K Sengupta,03/08/1939,India,1,,
5874,Serdar Burak Emir,20/08/2008,Turkey,,,1
5875,C S Serjeant,01/11/1951,Australia,12,3,
5876,M Sert,16/03/2001,Turkey,,,4
5877,G Sesay,12/12/2006,Sierra Leone,,,38
5878,R K Sethi,04/09/1941,East Africa,,3,
5879,D G Sewell,20/10/1977,New Zealand,1,,
5880,M A Seymour,05/06/1936,South Africa,7,,
5881,Shabbir Ahmed,21/04/1976,Pakistan,10,32,1
5882,Shabir Noori,22/02/1992,Afghanistan,,10,1
5883,D Shackleton,12/08/1924,England,7,,
5884,Shadab Kabir,12/11/1977,Pakistan,5,3,
5885,Shadab Khan,04/10/1998,Pakistan,6,70,104
5886,Shadley van Schalkwyk,05/08/1998,United States,,10,14
5887,Shadman Islam,18/05/1995,Bangladesh,20,,
5888,Shadnan Khan,01/01/1991,Austria,,,5
5889,Shafat Ali Syed,17/03/1996,Spain,,,10
5890,L Shafeeq,07/10/1995,Maldives,,,25
5891,Shaffeq Muhammad,10/02/1991,Greece,,,2
5892,Shafiq Ahmed,28/03/1949,Pakistan,6,3,
5893,Shafiq Sharif,10/03/1990,Malaysia,,,13
5894,Shafiqullah,07/08/1989,Afghanistan,,24,46
5895,Shafiuddin Ahmed,01/06/1973,Bangladesh,,11,
5896,Shafiul Islam,06/10/1989,Bangladesh,11,60,20
5897,Shafqat Rana,10/08/1943,Pakistan,5,,
5898,Shafraz Jaleel,28/08/1987,Maldives,,,4
5899,Shagharai Sefat,31/12/1995,Belgium,,,10
5900,H A M Shah,02/08/1992,Denmark,,,32
5901,K D Shah,09/12/1995,Hong Kong,,10,49
5902,O A Shah,22/10/1978,England,6,71,17
5903,R D Shah,28/08/1972,Kenya,,56,
5904,Shah Abrar Hussain,05/11/1986,Cambodia,,,12
5905,Shahab Alam,,Nepal,,,6
5906,Shahadat Hossain,07/08/1988,Bangladesh,40,51,8
5907,Shahadat Hossain,04/02/2002,Bangladesh,4,,1
5908,S Shahbaz Ahmed,12/12/1994,India,,3,2
5909,Shahbaz Badar,15/09/1991,Bahrain,,,16
5910,Shaheedur Rahman,01/01/1963,Bangladesh,,2,
5911,Shaheen Shah Afridi,06/04/2000,Pakistan,31,59,75
5912,Shaheryar Butt,14/01/1982,Belgium,,,38
5913,Shahid Afridi,05/01/2000,Germany,,,7
5914,Shahid Afridi,01/03/1980,Pakistan,27,398,99
5915,Shahid Ahmadzai,15/11/1988,Canada,,3,1
5916,Shahid Anwar,05/07/1968,Pakistan,,1,
5917,Shahid Arshad,05/02/1985,Slovenia,,,10
5918,Shahid Israr,01/03/1950,Pakistan,1,,
5919,Shahid Mahboob,25/08/1962,Pakistan,1,10,
5920,Shahid Mahmood,15/09/1989,Bahrain,,,13
5921,Shahid Mahmood,17/03/1939,Pakistan,1,,
5922,Shahid Nazir,04/12/1977,Pakistan,15,17,
5923,Shahid Saeed,06/01/1966,Pakistan,1,10,
5924,Shahid Wasif,15/05/1997,Hong Kong,,10,24
5925,Shahidullah Kamal,06/02/1999,Afghanistan,3,3,3
5926,Shahil Momim,25/01/1991,Austria,,,24
5927,Shahnawaz Dahani,05/08/1998,Pakistan,,2,11
5928,Shahriar Hossain,01/06/1976,Bangladesh,3,20,
