,0,1,2,3,4,5
372,R W Anderson,02/10/1948,New Zealand,9,2,
373,W M Anderson,08/10/1919,New Zealand,1,,
374,J Andrew,07/12/2006,West Indies,,1,
375,K V Andrew,15/12/1929,England,2,,
376,A Andrews,02/06/1998,Switzerland,,,7
377,B Andrews,04/04/1945,New Zealand,2,,
378,T J E Andrews,26/08/1890,Australia,16,,
379,Aneesh Kumar,05/08/1983,Switzerland,,,21
380,D K Anefie,10/08/2000,Ghana,,,36
381,A Anemogiannis,20/02/1974,Greece,,,1
382,J O Angara,08/11/1971,Kenya,,17,
383,J Angel,22/04/1968,Australia,4,3,
384,B Angeltti,18/06/1987,Argentina,,,9
385,Anik Ahmed,04/03/1996,Italy,,,4
386,A Anil,18/11/1997,Tanzania,,,27
387,Anil Parmar,06/02/1987,Norway,,,8
388,Anique Uddin,19/09/1997,Denmark,,,13
389,Anish Shah,13/04/1986,Fiji,,,2
390,Anisur Rehman,01/03/1971,Bangladesh,,2,
391,R Ankad,29/12/1977,Mexico,,,20
392,T M Anker,21/08/1991,Cook Islands,,,1
393,Ankit Dubey,26/04/1987,Sweden,,,2
394,S A Ankola,01/03/1968,India,1,20,
395,D N A Ankrah,05/12/1998,Ghana,,,4
396,Ankur Sharma,27/02/1982,Hong Kong,,4,
397,Anmoldeep Singh,09/02/2006,Italy,,,4
398,Anowarul Islam,07/03/1986,Thailand,,,4
399,Ansar Iqbal,28/07/1981,Norway,,,9
400,M Ansari,01/04/1984,Oman,,,11
401,Z S Ansari,10/12/1991,England,3,1,
402,M J Ansell,11/10/1994,Isle of Man,,,22
403,Ansh Tandon,08/11/2001,United Arab Emirates,,1,9
404,Anshuman Rath,05/11/1997,Hong Kong,,18,52
405,Anshuman Singh,28/09/1999,Luxembourg,,,2
406,H A G Anthony,16/01/1971,West Indies,,3,
407,C V Anto,22/06/1994,Kuwait,,,33
408,Anucha Kalasi,27/06/2006,Thailand,,,11
409,S D Anurasiri,25/02/1966,Sri Lanka,18,45,
410,Anwar Ali,25/11/1987,Pakistan,,22,16
411,Anwar Arudin,09/07/1984,Malaysia,,,21
412,Anwar Hossain,10/12/1983,Bangladesh,1,1,
413,Anwar Hossain Monir,31/12/1981,Bangladesh,3,1,
414,Anwar Hussain,16/07/1920,Pakistan,4,,
415,Anwar Khan,24/12/1955,Pakistan,1,,
416,Anwar Rahman,23/09/1996,Malaysia,,,22
417,Aphsal Ashraf,23/11/1991,Kuwait,,,5
418,Apon Mustafizur,20/10/1992,Serbia,,,4
419,G J A Aponso,28/10/1952,Netherlands,,5,
420,M A Aponso,23/06/1993,Sri Lanka,,9,3
421,R Appleyard,27/06/1924,England,9,,
422,S Appu,01/06/1986,Malta,,,4
423,Apriliandi Rahayu,24/04/2000,Indonesia,,,11
424,A L Apte,24/10/1934,India,1,,
425,M L Apte,05/10/1932,India,7,,
426,Aqib Ilyas,05/09/1992,Oman,,32,56
427,Aqib Iqbal,22/07/1997,Austria,,,43
428,S E Aquilina,27/06/1984,Malta,,,16
429,S Arachchige,29/06/1992,Italy,,,4
430,V R B Arachchige,30/05/1992,Malta,,,4
431,S R M J K Arachchilage,10/12/1980,Cyprus,,,4
432,Arafat Minhas,02/01/2005,Pakistan,,,4
433,Arafat Sunny,29/09/1986,Bangladesh,,16,10
